TP_TCP_DOWN TP_TCP_UP RTT LOSS_DOWN LOSS_UP JITTER_DOWN JITTER_UP
3762293.70871 2590859.285534 0.064417 0 0 0.00535 0.00708
14220615.821327 711330.62294 0.121284 0 0 0.018543 0.028702
5991243.93078 933579.946289 0.048635 0 0 0.014726 0.008154
6481810.33419 14421350.531235 0.065669 0 0 0.00115 0.004769
44953129.933141 8700355.585052 0.064618 0 0 0.001133 0.004859
31732349.936551 17257840.886412 0.063757 0 0 0.000383 0.004816
2580540.328115 577593.235729 0.075926 0 0 0.004895 0.018967
12808918.293291 144814.903625 0.094736 0 0 0.001986 0.025401
41534129.144431 3683246.806826 0.079715 0 0 0.029874 0.015607
10075810.953536 291119.958175 0.069211 0 0 0.003184 0.00455
10698718.552331 14517764.110823 0.063091 0 0 0.000764 0.003453
8221135.746214 9016287.248858 0.062343 0 0 0.000592 0.004455
42718911.016539 1507597.5469 0.044676 0 0 0.002226 0.003033
14018047.911604 4878784.546506 0.043768 0 0 0.002237 0.006413
3084863.991141 830533.654415 0.081896 0 0 0.003432 0.006388
22312336.193271 10584502.672547 0.153704 0 0 0.006081 0.003046
14463334.989649 1860013.925778 0.056162 0 0 0.007937 0.008219
3546619.787378 17832894.675465 0.060699 2 0 0.00123 0.004567
39666874.926166 17453228.988509 0.064638 0 0 0.00086 0.011539
2721038.549361 6687970.89749 0.077132 2 0 0.002662 0.005409
2704647.657586 1146984.41394 0.077526 0 0 0.000848 0.007087
33328267.508468 2142928.982081 0.063408 0 0 0.001784 0.004787
4471115.207974 17439350.662378 0.070894 0 0 0.000583 0.00611
2843878.71655 329433.650555 0.08206 0 0 0.004034 0.008419
20476641.033648 11411064.73342 0.047852 0 0 0.001231 0.008459
24166850.469521 12040149.289545 0.0806 0 0 0.003459 0.007582
5441570.080343 1059938.797346 0.080763 0 0 0.00183 0.003664
25512149.013943 10495916.30073 0.057832 0 0 0.000665 0.004975
7403512.919579 12451210.401068 0.07067 0 0 0.000504 0.02047
5808258.280546 1619614.701326 0.075776 0 0 0.001285 0.00418
11866468.533093 23167703.129398 0.144303 0 0 0.003036 0.006314
5569476.458233 1453458.055992 0.075323 0 0 0.001279 0.004347
20883329.968889 12360674.261076 0.048257 0 0 0.001087 0.011656
6375295.67994 1851545.525229 0.078518 0 0 0.004949 0.007551
30507933.292428 3141627.496931 0.062959 0 0 0.026731 0.008491
15322388.864595 14309465.210351 0.074058 0 0 0.006129 0.007526
